Interface-ID;IU-105;IU-106;IU-168;IU-370;IU-371;IU-374;IU-375;IU-508;Usability Indicator
1;2;2;2;2;0;0;0;0;negative
2;2;0;0;0;0;0;0;0;negative
3;0;0;0;0;0;0;0;0;negative
4;1;2;2;2;0;0;0;0;negative
5;0;0;0;0;0;0;0;0;negative
6;1;1;1;0;0;0;1;0;positive
7;2;2;0;0;0;0;0;0;negative
8;0;2;0;0;0;0;0;0;negative
9;0;2;0;0;0;0;0;0;negative
10;0;1;0;1;0;0;1;0;negative
11;0;0;0;0;0;0;0;0;negative
12;0;0;0;0;0;0;1;0;negative
13;0;2;0;0;0;0;0;0;negative
14;0;0;1;1;0;0;0;0;negative
15;2;2;2;0;2;0;2;0;negative
16;0;1;0;0;0;0;0;0;negative
17;0;2;0;2;0;0;2;0;negative
18;0;0;0;0;0;0;1;1;negative
19;1;0;0;0;0;0;0;0;negative
20;1;0;1;1;1;0;0;0;positive
21;1;0;0;0;0;0;0;0;negative
22;1;0;0;0;0;0;0;0;negative
23;1;1;0;1;0;0;0;0;negative
24;1;0;0;0;0;0;0;0;negative
25;2;2;2;2;2;2;0;0;negative
26;0;0;0;0;0;0;0;0;negative
27;2;2;0;2;0;0;0;0;negative
28;0;0;0;1;1;0;0;0;negative
29;0;1;0;0;0;0;1;0;negative
30;0;2;2;2;2;2;0;0;negative
31;0;1;0;0;0;0;0;0;negative
32;0;2;0;2;0;0;1;0;negative
33;0;1;0;0;0;0;0;0;negative
34;0;0;0;0;1;0;0;0;negative
35;1;2;2;2;0;0;0;0;negative
36;1;0;0;0;0;0;0;0;negative
37;1;0;0;0;0;0;0;0;negative
38;1;2;0;1;0;0;0;0;negative
39;1;0;1;1;0;0;0;0;negative
40;0;0;0;1;0;0;0;0;negative
41;0;1;0;1;1;0;0;0;negative
42;0;1;0;0;0;0;0;1;negative
43;0;0;0;0;1;1;0;0;negative
44;0;1;0;1;0;0;0;0;negative
45;1;0;1;1;1;0;0;0;positive
46;0;0;0;0;0;0;0;0;negative
47;1;1;0;0;0;0;0;0;negative
48;0;0;2;0;0;0;0;0;negative
49;0;1;0;0;0;0;0;0;negative
50;0;0;0;1;1;0;0;0;negative
51;0;0;2;0;1;0;1;0;negative
52;0;0;0;1;1;0;0;0;negative
53;1;0;0;1;0;0;0;0;negative
54;1;0;0;0;0;0;0;0;negative
55;1;2;2;0;2;0;0;0;negative
56;1;1;0;0;0;0;0;0;negative
57;1;1;0;1;0;0;0;0;negative
58;0;0;0;0;0;0;0;0;negative
59;0;0;0;0;0;0;0;0;negative
60;1;1;0;0;0;0;0;0;negative
61;1;1;1;1;0;0;0;0;positive
62;0;1;1;1;0;1;0;1;positive
63;0;0;0;0;1;0;1;0;negative
64;0;0;0;0;0;0;0;1;negative
65;0;0;0;0;2;0;0;0;negative
66;0;1;0;0;0;0;0;0;negative
67;2;2;2;2;2;0;0;0;negative
68;0;1;0;0;0;0;0;0;negative
69;1;1;0;0;0;0;0;0;negative
70;0;1;1;1;0;1;0;1;positive
71;0;1;0;0;0;0;1;0;negative
72;0;1;0;0;0;0;0;0;negative
73;0;1;0;0;1;0;0;0;negative
74;0;1;1;0;0;1;1;1;positive
75;0;1;0;0;0;0;0;0;negative
76;0;0;0;1;0;0;0;0;negative
77;0;0;0;1;0;0;0;0;negative
78;0;0;1;0;1;0;1;0;negative
79;1;0;0;0;0;0;0;0;negative
80;0;0;0;0;1;1;0;0;negative
81;0;0;1;0;0;0;0;0;negative
82;0;0;0;0;0;0;0;0;negative
83;2;2;2;2;2;2;0;0;negative
84;0;0;0;0;1;1;0;0;negative
85;0;0;0;0;0;0;1;0;negative
86;2;2;2;2;2;2;0;0;negative
87;0;0;1;0;1;0;0;0;negative
88;0;1;0;0;0;0;0;0;negative
89;0;1;0;1;0;1;1;1;positive
90;1;1;0;1;1;0;0;1;positive
91;1;1;0;1;0;0;0;0;negative
92;1;1;0;0;0;0;0;0;negative
93;1;1;0;0;0;0;0;0;negative
94;1;1;0;0;0;0;0;0;negative
95;0;1;0;0;0;0;0;0;negative
96;2;2;0;0;2;2;0;0;negative
97;0;1;0;0;0;0;0;0;negative
98;0;1;0;0;0;0;0;0;negative
99;0;1;0;0;0;0;0;0;negative
100;1;1;0;0;0;0;0;1;negative
101;0;1;0;0;0;0;0;0;negative
102;0;1;0;0;0;0;0;0;negative
103;0;1;0;1;0;0;0;0;negative
104;0;1;0;1;0;0;0;0;negative
105;0;1;0;1;0;0;0;0;negative
106;1;1;0;1;0;0;0;0;negative
107;1;1;0;0;0;0;0;0;negative
108;0;1;0;0;0;0;0;0;negative
109;0;0;1;1;1;0;1;0;positive
110;2;2;0;2;2;0;0;0;negative
111;1;0;1;0;0;1;0;1;positive
112;1;1;1;0;1;0;1;0;positive
113;1;1;0;0;0;0;0;0;negative
114;1;1;0;0;0;0;0;1;negative
115;1;1;0;0;0;0;0;0;negative
116;1;1;0;0;0;0;0;0;negative
117;2;0;2;0;2;0;0;0;negative
118;0;0;1;0;0;0;0;0;negative
119;0;0;0;0;0;0;1;0;negative
120;0;0;0;1;1;0;0;0;negative
121;0;0;0;1;0;0;0;0;negative
122;1;1;0;0;0;0;0;0;negative
123;1;1;0;0;0;0;0;0;negative
124;0;1;0;0;0;0;0;0;negative
125;0;1;0;0;0;0;0;0;negative
126;1;1;0;0;1;0;0;0;negative
127;0;1;0;0;0;0;0;0;negative
128;0;0;1;0;0;1;1;1;positive
129;0;0;0;0;0;0;0;1;negative
130;2;2;0;2;0;2;0;0;negative
131;0;1;0;1;1;1;1;1;positive
132;2;2;2;2;0;2;0;0;negative
133;0;0;0;0;1;0;1;0;negative
134;2;1;2;2;0;1;0;0;negative
135;0;0;0;0;0;0;0;0;negative
136;0;0;0;2;2;2;0;0;negative
137;0;0;1;0;1;0;1;1;positive
138;0;0;0;1;0;0;0;0;negative
139;0;0;0;0;0;0;1;0;negative
140;0;2;2;0;0;2;0;0;negative
141;0;1;0;0;0;0;0;0;negative
142;1;1;0;0;0;0;0;0;negative
143;1;1;0;0;0;0;0;1;negative
144;1;0;0;0;0;0;0;0;negative
145;1;1;0;0;0;0;0;0;negative
146;1;1;0;0;0;0;0;0;negative
147;0;1;0;0;0;0;0;0;negative
148;0;1;0;0;0;0;0;0;negative
149;0;1;0;0;0;0;0;0;negative
150;1;1;0;0;0;0;0;0;negative
151;0;2;0;0;0;0;0;0;negative
152;0;0;2;0;0;0;0;0;negative
153;0;0;0;2;2;0;0;0;negative
154;0;0;1;2;0;1;0;0;negative
155;1;0;0;0;0;0;0;1;negative
156;0;0;0;2;0;0;0;0;negative
157;0;0;1;0;1;1;0;0;negative
158;0;0;0;0;0;1;0;1;negative
159;0;0;0;2;0;0;1;0;negative
160;0;0;0;2;0;0;0;0;negative
161;1;0;1;0;1;1;0;0;positive
162;1;0;0;0;0;0;0;0;negative
163;1;1;0;1;0;1;0;0;positive
164;1;1;0;0;0;0;0;0;negative
165;0;1;0;2;0;0;0;0;negative
166;0;1;0;0;0;0;0;0;negative
167;0;1;0;1;1;0;0;0;negative
168;0;1;1;1;0;0;1;0;positive
169;0;0;0;2;0;0;0;0;negative
170;0;0;0;0;0;0;0;1;negative
171;0;0;0;0;0;0;0;1;negative
172;0;1;1;0;1;0;1;0;positive
173;0;1;0;0;2;0;2;0;negative
174;1;1;0;0;0;0;0;0;negative
175;1;1;0;0;0;0;1;0;negative
176;0;1;0;0;1;1;0;1;positive
177;2;2;0;2;0;0;0;0;negative
178;0;0;0;0;1;0;0;1;negative
179;0;1;0;0;0;0;0;0;negative
180;0;1;0;0;0;0;2;0;negative
181;0;1;1;1;0;2;0;0;negative
182;0;1;0;0;0;0;2;0;negative
183;0;1;0;2;2;0;0;0;negative
184;1;1;0;0;0;0;0;0;negative
185;1;1;0;0;0;0;0;0;negative
186;1;1;0;0;2;0;0;0;negative
187;0;1;0;0;0;0;0;0;negative
188;0;0;0;0;0;0;0;1;negative
189;0;0;0;2;0;1;1;0;negative
190;0;0;0;0;1;0;1;1;negative
191;0;0;0;1;0;0;0;1;negative
192;0;1;0;1;0;1;0;0;negative
193;2;2;0;2;2;0;0;0;negative
194;0;0;1;1;0;1;1;0;positive
195;1;1;0;0;1;0;0;0;negative
196;1;1;0;0;0;0;0;0;negative
197;1;1;0;1;1;0;0;0;positive
198;1;1;0;0;0;0;0;0;negative
199;1;1;0;0;0;1;1;1;positive
200;1;1;0;0;0;0;0;0;negative
201;0;1;0;1;1;0;0;1;positive
202;0;1;0;0;0;0;0;0;negative
203;0;1;0;0;0;1;0;1;negative
204;1;1;1;1;1;0;0;0;positive
205;1;0;0;0;0;0;0;0;negative
206;1;0;1;1;1;0;0;0;positive
207;2;0;2;2;0;2;0;0;negative
208;1;0;0;0;0;0;0;1;negative
209;0;0;0;0;0;0;0;0;negative
210;2;0;2;2;0;2;0;0;negative
211;0;2;2;2;2;0;2;0;negative
212;0;0;0;0;0;2;0;0;negative
213;0;0;0;0;1;0;0;0;negative
214;0;1;0;1;0;0;0;0;negative
215;0;2;0;0;0;0;0;0;negative
216;0;0;2;0;0;0;0;0;negative
217;0;0;0;0;2;2;0;0;negative
218;0;0;0;0;0;0;0;0;negative
219;0;0;2;0;0;0;2;0;negative
220;0;1;2;0;0;0;0;0;negative
221;0;1;0;0;1;1;1;0;positive
222;0;1;0;0;0;2;0;1;negative
223;1;1;0;0;0;0;1;1;positive
224;1;0;0;2;0;0;0;1;negative
225;1;1;0;0;1;1;0;0;positive
226;1;1;0;0;0;0;0;0;negative
227;2;2;2;2;0;2;0;0;negative
228;0;1;0;0;0;0;0;0;negative
229;2;0;2;2;2;2;0;2;negative
230;0;0;0;0;0;0;0;0;negative
231;0;2;0;0;2;2;2;0;negative
232;0;0;0;2;0;0;0;0;negative
233;1;1;0;0;0;0;0;0;negative
234;1;1;0;1;1;0;0;0;positive
235;1;1;0;0;0;0;0;0;negative
236;0;1;0;1;0;0;0;0;negative
237;0;0;0;0;0;0;0;0;negative
238;0;0;0;0;2;0;0;0;negative
239;0;0;0;2;0;2;0;2;negative
240;0;0;0;0;0;2;0;0;negative
241;0;1;0;0;0;0;0;0;negative
242;0;1;0;1;0;1;0;0;negative
243;0;1;0;0;0;0;0;1;negative
244;0;1;0;0;0;0;1;0;negative
245;0;1;0;0;0;0;0;0;negative
246;0;1;0;0;0;0;0;0;negative
247;2;0;2;2;0;2;0;0;negative
248;1;1;0;0;0;0;0;0;negative
249;1;1;0;0;0;0;0;0;negative
250;1;1;0;0;0;0;0;0;negative
251;0;2;2;0;0;2;0;0;negative
252;1;0;0;0;0;0;0;0;negative
253;1;0;0;0;0;0;0;0;negative
254;0;0;2;2;0;0;0;0;negative
255;0;0;0;0;2;0;0;0;negative
256;1;1;0;1;2;0;0;0;negative
257;1;1;0;0;0;0;0;0;negative
258;1;1;0;0;0;0;0;1;negative
259;0;1;0;0;0;0;0;0;negative
260;2;2;0;0;2;2;0;0;negative
261;0;0;0;0;0;0;0;0;negative
262;0;1;0;0;0;0;0;0;negative
263;0;0;0;2;0;2;2;0;negative
264;0;1;0;0;0;0;0;0;negative
265;0;1;0;0;0;0;0;0;negative
266;0;1;0;0;0;0;0;0;negative
267;1;1;0;0;0;0;0;0;negative
268;1;1;0;0;0;0;0;0;negative
269;0;1;0;0;0;0;0;0;negative
270;0;0;0;2;0;0;2;0;negative
271;0;0;0;2;2;0;0;0;negative
272;1;1;0;0;0;0;0;0;negative
273;1;1;0;0;0;0;0;0;negative
274;1;1;0;0;2;0;0;0;negative
275;1;1;0;0;0;0;0;1;negative
276;1;1;0;0;0;0;0;0;negative
277;0;0;0;0;0;0;1;0;negative
278;0;0;0;1;0;0;0;0;negative
279;0;1;0;0;0;0;0;0;negative
280;0;1;0;0;2;2;0;0;negative
281;1;1;0;0;0;0;0;0;negative
282;0;1;0;0;0;0;0;0;negative
283;0;0;2;0;0;0;0;0;negative
284;0;0;0;2;0;0;0;0;negative
285;1;0;0;0;0;0;0;0;negative
286;1;0;0;0;0;0;0;0;negative
287;0;0;2;2;2;2;0;0;negative
288;2;0;2;0;0;0;2;0;negative
289;0;0;0;0;0;0;0;1;negative
290;2;0;0;0;2;0;0;0;negative
291;0;1;0;0;0;0;0;0;negative
292;0;1;0;0;0;0;0;0;negative
293;0;1;0;0;0;0;0;0;negative
294;0;0;0;0;2;0;0;0;negative
295;0;0;0;0;0;0;0;0;negative
296;0;0;0;0;2;0;0;0;negative
297;0;0;0;1;0;0;0;0;negative
298;1;0;0;0;0;0;0;0;negative
299;1;0;0;0;0;0;0;0;negative
300;0;2;0;0;0;0;0;0;negative
301;0;0;0;0;2;0;0;0;negative
302;1;0;0;0;0;0;0;0;negative
303;0;0;2;0;0;2;0;0;negative
304;1;0;0;0;0;0;1;1;negative
305;0;1;0;0;0;0;0;0;negative
306;0;1;0;0;0;0;0;0;negative
307;1;1;0;0;0;0;0;0;negative
308;0;0;0;0;0;0;0;0;negative
309;0;0;2;0;2;2;0;0;negative
310;1;1;0;0;0;0;0;0;negative
311;0;1;0;0;0;0;0;0;negative
312;0;1;0;0;0;0;0;0;negative
313;1;1;0;0;0;0;1;0;negative
314;1;0;0;0;0;0;0;0;negative
315;0;0;2;0;0;2;0;0;negative
316;1;0;0;0;0;0;0;0;negative
317;0;0;2;2;0;2;0;0;negative
318;0;0;0;0;0;0;0;0;negative
319;0;0;0;0;0;0;0;1;negative
320;0;1;0;0;0;0;0;0;negative
321;1;1;0;0;0;0;0;0;negative
322;0;1;0;0;0;0;0;0;negative
323;1;0;2;0;0;0;0;0;negative
324;1;0;0;0;0;0;0;0;negative
325;1;0;0;0;0;0;0;0;negative
326;1;1;2;0;2;0;0;0;negative
327;1;1;0;1;0;0;0;0;negative
328;0;1;0;0;0;0;0;0;negative
329;0;1;0;0;0;0;2;0;negative
330;2;2;2;0;2;0;0;0;negative
331;2;2;2;0;0;0;0;0;negative
332;0;1;0;0;1;0;0;0;negative
333;0;1;0;0;0;0;0;0;negative
334;0;1;0;0;0;0;0;0;negative
335;0;2;0;0;0;0;0;0;negative
336;0;1;0;0;0;0;0;0;negative
337;0;1;0;0;0;0;0;0;negative
338;1;1;2;2;0;2;0;0;negative
339;1;1;0;0;0;0;0;0;negative
340;1;1;0;2;0;2;0;1;negative
341;0;1;0;0;0;0;0;0;negative
342;2;2;2;0;2;2;0;0;negative
343;0;1;0;0;0;0;0;0;negative
344;1;1;0;0;0;0;0;0;negative
345;2;1;0;0;2;0;0;0;negative
346;1;1;0;0;0;0;0;0;negative
347;1;0;0;0;1;0;0;0;negative
348;1;1;0;2;0;0;0;0;negative
349;1;1;0;0;0;0;0;0;negative
350;0;1;0;2;2;0;0;0;negative
351;1;1;0;0;0;0;0;0;negative
352;0;1;0;2;2;0;0;0;negative
353;0;1;0;0;0;0;0;1;negative
354;0;0;0;0;0;0;0;0;negative
355;0;0;0;2;0;0;0;0;negative
356;0;0;0;0;0;0;0;0;negative
357;1;1;0;0;0;0;0;0;negative
358;0;1;0;0;0;0;0;0;negative
359;0;1;0;0;0;0;0;0;negative
360;0;1;0;0;0;0;0;0;negative
361;1;1;0;0;0;0;0;0;negative
362;0;0;0;2;0;0;0;0;negative
363;0;1;0;0;0;0;0;0;negative
364;0;1;0;0;0;0;0;0;negative
365;0;1;0;0;0;0;0;0;negative
366;0;1;0;0;1;0;0;0;negative
367;0;1;0;0;0;0;0;0;negative
368;0;0;0;0;0;0;0;1;negative
369;2;2;2;2;0;0;2;0;negative
370;2;0;0;0;0;0;0;0;negative
371;0;2;0;0;0;0;0;0;negative
372;1;0;0;0;0;0;0;0;negative
373;1;1;0;0;0;0;0;0;negative
374;1;0;0;0;0;0;0;0;negative
375;1;0;0;0;0;0;0;0;negative
